study,Journal,Start Date,End Date,Country,Income,Region,WHO_Region,Study Design,Setting,Sample,Is this a special population?,Age,Age (measure),Female patients (n),Disease Severity,Do all patients included have laboratory-confirmed SARS-CoV-2 infection? (If not - study should be excluded),"Does the study meet any of the listed exclusion criteria (see covidence/protocol(?  IF YES to any, please do not proceed and send Brad Covidence #",ARDS,Mechanical Ventilation,ICU ,Smokers,COPD,CVD,Diabetes,Dialysis,Malignancy,Immunocompromised,"Patients identified to have growth of significant bacteria in the respective appropriate culture specimens (e.g., urine, tracheal aspirate, and blood from the central line, etc.) collected during admission were included.",Testing,Provide detail about testing methods - can cut and paste from text,clinical_def,body_site_specific,body_site,patients_eval,coinfection,secondary_infection,bacterial_infection_unspecified,Resistant co-infection,Resistant secondary infection,resistant unknown bacterial infection,Bacteria names specified?,Susceptibility_reported,AMR_Prev_Evaluable?,Resistant_pts_total,NonR_pts_total,UnknownR_pts_total,Pts_Denom,Resistant_organisms,Non-Resistant organisms,Unknown organism resistance,Orgs_Denom,blood_organisms_total,blood_R_organisms_total,resp_organisms_total,resp_R_organisms_total,urine_organisms_total,urine_R_organisms_total,skin_organisms_total,skin_R_organisms_total,other_site_organism_total,other_R_organisms_total,unknown_site_total,unknown_site_R_total,Mycoplasma,Chlamydia,Legionella,SA,blood_SA,resp_SA,urine_SA,skin_SA,other_SA,SA_R,MRSA,VRSA,S_pneumo,blood_Strepp,resp_Strepp,urine_Strepp,other_Strepp,S_pneumo_R,S_pneumo_pen_R,S_pneumo_FQ_R,Enterococcus,blood_Enterococcus,resp_Enterococcus,urine_Enterococcus,skin_Enterococcus,other_enterococcus,Enterococcus_R,Haemophilus_isolates,blood_Hflu,resp_Hflu,urine_Hflu,skin_Hflu,Hflu_R_isolates (AmpR Hflu),Psa,blood_Psa,resp_Psa,urine_Psa,skin_Psa,other_Psa,Psa_R,Psa_ESBL,Psa_CR,Psa_ColR,Psa_MDR,Kleb,blood_Kleb,resp_Kleb,urine_Kleb,skin_Kleb,other_kleb,Kleb_R,Kleb_ESBL,Kleb_CR,Kleb_ColR,Kleb_MDR,Ecoli,blood_EColi,resp_EColi,urine_EColi,skin_EColi,other_EColi,EColi_R,Ecoli_ESBL,Ecoli_CR,Ecoli_ColR,Ecoli_MDR,Acineto,blood_Acineto,resp_Acineto,urine_Acineto,skin_Acineto,other_Acineto,Acineto_R,Acineto_CR,Acineto_ColR,Acineto_MDR,Ebacter,blood_Ebacter,resp_Ebacter,urine_Ebacter,skin_Ebacter,Ebacter_R_isolates,Ebacter_ESBL,Ebacter_CR,Ebacter_ColR,Ebacter_MDR,CNST,CNST_blood,CNST_resp,CNST_other,Citrobacter,blood_Citrobacter,resp_Citrobacter,urine_Citrobacter,skin_Citrobacter,other_Citro,C_bacter_R_,MDR Citrobacter,Moraxella,blood_Morax,resp_Morax,urine_Morax,skin_Morax,Steno,blood_Steno,resp_Steno,urine_Steno,skin_Steno,other_Steno,Steno_MDR,Serratia,blood_Serratia,resp_Serratia,urine_Serratia,skin_Serratia,Serratia_R,Serratia_ESBL,Serratia_CR,Serratia_ColR,Strep not-Pneumo,Proteus,blood_Proteus,resp_Proteus,urine_Proteus,skin_Proteus,other_proteus,Proteus_R,Proteus_ESBL,Proteus_CR,Proteus_ColR,Proteus_MDR,Other GN,Other GP,Other not reported,C difficile  - Don't count towrds other columns (pts),Other bacteria not previously reported,corticosteroids,il_6_inhibitors,abx,Critical Appraisal 1: Was the study’s target population a close representation of the national population in relation to relevant variables? ,Critical Appraisal 2: Was the sampling frame a true or close representation of the target population?,"Critical Appraisal 3 Was some form of random selection used to select the sample, OR, was a census undertaken?",Critical Appraisal 4: Was the likelihood of nonresponse bias minimal?,Critical Appraisal 5: Were data collected directly from the subjects (as opposed to a proxy)?,Critical Appraisal 6: Was an acceptable case definition used in the study?,Critical Appraisal 7: Was the study instrument that measured the parameter of interest shown to have validity and reliability?,Critical Appraisal 8: Was the same mode of data collection used for all subjects?,Critical Appraisal 9: Was the length of the shortest prevalence period for the parameter of interest appropriate?,Critical Appraisal 10: Were the numerator(s) and denominator(s) for the parameter of interest appropriate?,bias,Quality_score,"Did this study evaluate bacterial co-infection or secondary infection outcomes compared to non-coinfection or non-secondary infection clinical outcomes? (i.e, mortality or LOS)",Mortality difference,LOS difference,Adjusted? (at minimum age),Mortality OR/HR Co-infection,LCL (Mortality OR/HR Co-infection),UCL (Mortality OR/HR Co-infection),Mortality OR/HR Secondary Infection,LCL (Mortality OR/HR Secondary Infection),UCL (Mortality OR/HR Secondary Infection),Mortality OR/HR unspecified/both types Infection,LCL (Mortality OR/HR unspecified/both types Infection),UCL (Mortality OR/HR unspecified/both types Infection),Infection_Type,Infection_Prevalence,I_Prev_Sensi_exclude,AMR_Prevalence_Overall,AMR_Prevalence_Select
"Hughes S, 2021",Antibiotics,12/01/2020,02/28/2021,UK,HIC,Europe,Europe,Retrospective Cohort,Hospital,594,,64.85,Unspecified,290,All combined,Yes,No,,,,,,,,,,,,Culture + Urine Ag,"Blood culture, sputum culture, urinary antigen. Positive microbiological isolates (within 5 days of admission) that warranted targeted antibacterial treatment by the on-duty microbiology team were agreed to be a clinically important bacterial pathogen",Yes,"resp, blood",multiple,594,,45,18,,,,Yes,Yes,No,,,63,63,8,6,58,72,17,2 MRSA,55,6 MRSA,,,,,,,,,,,,14,2,12,,,,8,8,,1,,1,,,,,,9,8,1,,,,,2,,2,,,,16,1,15,,,,,,,,,10,2,8,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,3,,3,,,6,,6,,,,,3,1,2,,,,,,,,1,,1,,,,,,,,,4,,,,"H. alvei=1, B. ovatus=1, Raotella=1",240,3,280,No or unclear,No or unclear,No or unclear,Yes,Yes,No or unclear,Yes,No or unclear,No or unclear,No or unclear,moderate,3,No,,,,,,,,,,,,,Unspecified,Y,,N,Y
"Kaal A, 2021",Emerg Med J,03/01/2020,04/30/2020,Netherlands,HIC,Europe,Europe,Retrospective Cohort,Hospital,142,,61,Mean,49,All combined,Yes,No,,,41,,,34,35,,17,8,"""use of immunosuppressants""",Culture + Urine Ag + NAAT,"Bacterial coinfection was defined as a positive PCR for Mycoplasma pneumoniae or Chlamydophila spp, a positive pneumococcal or legionella urinary antigen test or bacterial growth in a blood or sputum culture recognised as a pathogen and not deemed a contaminant as reviewed by three members of our research team (",Yes,"resp, blood",multiple,142,2,,,,,,Yes,No,No,,,2,2,,,2,2,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,low,10,No,,,,,,,,,,,,,Co-infection,Y,,N,N
"Karaba SM, 2021",Open Forum Infectious Diseases,03/01/2020,05/31/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital,1016,,62,Median,473,All combined,Yes,No,,,118,,40,,90,,,57,"Immunocompromising conditions includes HIV/AIDS, receipt of biologics, prednisone >20 mg daily for â‰¥2 weeks, chemotherapy within 6 months, and solid organ or hematopoietic stem cell transplant",Culture + Urine Ag,"urinary antigen, resp culture, blood culture",Yes,"resp, blood, urine",multiple,1016,43,,,,,,Yes,Yes,No,,,43,43,4,3,51,58,21,4 MRSA,1,,36,,,,,,,,,,,7,6,1,,,,4,4,,,,,,,,,,5,1,,4,,,,,,,,,,,,,,,,,,,,,6,2,,4,,,,,,,,15,5,,10,,,,,,,,,,,,,,,,,,4,,,4,,,,,,,5,5,,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,5,,,,,,,,,,9,2,,,,977,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,low,9,No,-,-,-,,,,,,,,,,Co-infection,Y,,N,Y
"Karmen-Tuohy S, 2020",J Acquir Immune Defic Syndr,03/02/2020,04/23/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital,63,1/3 HIV patients,61,Weighted mean,6,All combined,Yes,No,,10,13,16,,4,12,,6,21,21 hiv pts,Culture,sputum culture,Yes,resp,resp,63,,4,,,,,Yes,No,No,,,4,4,,,7,7,,,7,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,1,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,37,Yes,No or unclear,Yes,Yes,Yes,No,Yes,No or unclear,Yes,Yes,moderate,7,No,,,,,,,,,,,,,Secondary,Y,,N,N
"Khatri A, 2021",Open Forum Infect Dis,03/01/2020,09/22/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital,13007,,63.2,weighted mean,5823,all combined,Yes,No,,,2947,,437,840,3051,,547,4249,"atients who received any of the following treatments for COVID-19: systemic corticosteroids (prednisone, prednisolone, dexamethasone, methylprednisolone, hydrocortisone), the IL-1R antagonist anakinra, or the IL-6R antagonist tocilizumab.",Culture,"Growth of bacterium (except commensal organisms) and/or fungus in at least one set of blood culture bottles (aerobic and/or anaerobic), occuring at least 2 d after admission",Yes,blood,blood,13007,,239,,,25,,Yes,Yes,No,39,95,105,239,39,95,105,239,239,39,,,,,,,,,,,,,,64,64,,,,,16,16,,,,,,,,,,36,36,,,,,9,,,,,,,14,14,,,,,,,,,,18,18,,,,,,,,,,34,34,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,62,,,2958,804,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,low,9,No,,,,,,,,,,,,,Secondary,Y,,N,Y
"Khurana S, 2021",Indian J Med Microbiol,04/03/2020,07/11/2020,India,LMIC,Asia,South-East Asia,Retrospective Cohort,Hospital,1179,,unspecified,,unspecified,All combined,Yes,No,,,375,,,,,,,,,Culture,"Clinical samples of COVID-19 patients were received in the microbiology laboratory, on clinical suspicion of a secondary infection in patients with initial positive real-time RT-PCR results",Yes,"blood, resp, urine, pus, other",multiple,1179,,151,,,,,Yes,Yes,No,,,,,,,97,97,39,,33,,12,,,,13,,,,1,,,0,,,,,,,,,0,,,,,,,,4,3,,1,,,,0,,,,,,11,3,5,2,,1,,,,,,33,14,13,2,,4,,,,,,16,6,1,2,,7,,,,,,26,12,12,1,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,3,,,3,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No or unclear,low,8,Yes,Overall in-hospital mortality was 18% (209/1179); mortality was 33% for those with secondary infection (p =0.0001),,No,,,,,,,,,,Secondary,Y,,N,Y
"Kimmig L, 2020",Frontiers in Medicine,03/01/2020,04/27/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital ICU,111,,63.1,Mean/Average,49,Critical,Yes,No,,,111,48,12,23,45,,11,13,"transplant=5,immunosuppressive meds=8",Culture,included both culture-proven and suspected bacterial infections in our analysis,Yes,"resp, blood",multiple,111,,42,,,,,No,No,No,,,42,42,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,54,,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,No or unclear,Yes,No or unclear,moderate,7,No,-,-,-,,,,,,,,,,Secondary,Y,,N,N
"Kokkoris S, 2021",J Hosp Infect,03/19/2020,05/20/2020,Greece,HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,50,,64,Median,12,Critical,Yes,No,,41,50,,,,,,,,,Culture,blood culture,No,blood,blood,50,,20,,,11,,Yes,Yes,No,11,,9,20,11,,9,20,20,"4 XDR Acinetobacter, 3 pan-drug resistant Acinetobacter, 4 CRE Kleb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,4,,,,,,,,,,,,,,7,7,,,,,7,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,0,0,,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,low,8,Yes,"Crude ICU mortality was 32%, not significantly different between patients with and without BSIs (33% and 30%, respectively)","BSI acquisition was associated with increased length of ICU stay compared with no-BSI acquisition: 38 (31) vs 10 (7) days, P<0.001",No,,,,,,,,,,Secondary,Y,,N,Y
"Kolenda C, 2020",Open Forum Infect Dis,03/01/2020,04/15/2020,France,HIC,Europe,Europe,Propsective Cohort,Hospital ICU,99,,Unspecified,Unspecified,Unspecified,Critical,Yes,No,,,99,,,,,,,,,Culture + NAAT,culture and PCR (BioFire assay),No,resp,resp,99,15,,,,,,Yes,Yes,No,,,15,15,,9,8,17,,,17,,,,,,,,,,,,1,7,,7,,,,0,0,0,2,,2,,,,,,,,,,,,,4,,4,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,Enterobacteriacceae=2,,,72,No or unclear,No or unclear,No or unclear,Yes,Yes,No or unclear,Yes,Yes,Yes,Yes,moderate,6,No,,,,,,,,,,,,,Co-infection,Y,,N,Y
"Kooistra E, 2021",Crit Care,03/11/2020,02/05/2021,Netherlands,HIC,Europe,Europe,Propsective Cohort,Hospital ICU,189,,65.3,Median,56,Critical ,Yes,No,,,,,19,,46,,7,6,immunological insufficiency,Culture,"A secondary bacterial infection was defned as an infectious episode confrmed by a positive culture, which was taken in case of a suspected secondary infection based on clinical signs of a new infectious episode (fever, respiratory failure, hemodynamic instability, elevated white blood cell counts). Secondary infections consisted of pulmonary tract infections and (catheter-associated) bloodstream infections with a wide variety of causative pathogens",Yes,"resp, blood",multiple,189,,71,,,,,No,No,No,,,71,71,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,75,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,low,8,No,,,,,,,,,,,,,Secondary,Y,,N,N
"Kubin C, 2021",Open Forum Infect Dis,03/02/2020,05/31/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital,3028,,64,Median,1405,All combined,Yes,Yes,,500,622,,228,,1165,,,100,"HIV=96, SOT=100",Culture,"Bacteremia was defined by a positive blood culture for any organism other than coagulase-negative staphylococci. Criteria for bacteremia due to coagulase-negative staphylococci included positive blood cultures for at least 2 consecutive days and receipt of an anti-staphylococcal antibiotic; if  these criteria were not met, the blood culture was regarded as contaminated. All respiratory isolates except Candida and Enterococcus species were considered to indicate the presence of pneumonia, as protocols at our institution recommend culturing only in the setting of worsening symptoms or fever. Ventilator-associated pneumonia was defined by organism isolation from a respiratory source >2 calendar days after intubation. Organisms isolated from urinary cultures were challenging to evaluate for infection, given the difficulty of assessing symptoms in this critically ill patient population. All urinary isolates with an associated urinalysis with >10 white blood cells per high-power field were considered to constitute a urinary tract infection (UTI).",Yes,"resp, blood, urine",multiple,3028,,,,,,,Yes,Yes,Yes,,,,,229,,495,724,172,"40 total = 23 CTX-R Enterobacterales, 4 CRE (unspecified), 6 MRSA, 7 VRE",318,"155 total= 72 CTX-R Enterobacterales, 14 CRE, 29 MRSA",234,"74 total=58 CTX-R Enterobacterales, 7 CRE, 9 VRE",,,,,,,,,,127,40,81,6,,,35,35,0,,,,,,,,,47,21,,26,,,16,,,,,,,96,10,65,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,11,,,,,,,,,,,,,,31,,,,,,,,,,,,383,21,,,"Enterobacterales=375, GP=21, GN=5, Burkholderia=3, ",707,166,2015,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,low,8,Yes,"Hospital mortality significantly higher in group with infection vs no infection (33% vs 19%, p<0.001)",No,No,,,,,,,,,,Both,N,,Y,Y
"Lardaro T, 2020",Journal of Medical Virology,03/01/2020,04/13/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital,542,,62.8,Mean/Average,273,All combined,Yes,No,,162,86,43,68,,218,,,12,organ transplant=6; HIV=6,Culture,"blood cultures on admission, respiratory cultures in the first 24h of hospitalization",Yes,"resp, blood",multiple,542,20,,,,,,Yes,No,No,,,20,20,,,24,24,9,,15,,,,,,,,,,,,,5,,5,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,10,,"Globicatella=1, Corynebacterium striatum=1, Acinetobacter radioresistance=1, Aerococcus=1",,,20,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,Yes,Yes,low,9,Yes,,,,,,,,,,,,,Co-infection,Y,,N,N
"Lehmann C, 2020",Clinical Infectious Diseases,03/01/2020,04/11/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital,321,,60,Mean/Average,166,All combined,Yes,No,,,17,,,,,,,,,Culture + Urine Ag + NAAT,"RBVP and RSV/ influenza PCR assays were performed on 291 (91%) and 15 (5%) patients, respectively. Urinary S. pneumoniae and L. pneumophilia antigen testing were performed on 236 (74%) and 240 (75%) patients, respectively",Yes,"resp, blood",multiple,321,7,,,,,,Yes,No,No,,,7,7,,,9,9,1,,8,,,,,,,,,,,,,2,,2,,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,1,,,,Bordetella parapetussis=1,,,222,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,low,8,No,-,-,-,,,,,,,,,,Co-infection,Y,,N,N
"Li J, 2020",Antimicrobial Resistance and Infection Control,01/27/2020,03/17/2020,China,LMIC,Asia,Western Pacific,Retrospective Cohort,Hospital,1479,,,,,severe-critical,Yes,No,,,,,,,,,,,,Culture,"Microbiological specimens were cultured.SBIs were defined when patients showed clinical characteristics of bacterial infections, and at least one positive etiology of bacteria was acquired from qualified microbiological specimens (qualified sputum, endotracheal aspirate, bronchoalveolar lavage fluid, blood samples, or qualified urine) after SARS-CoV-2 infection.",Yes,"resp, blood, urine",multiple,1479,,102,,,,,Yes,Yes,Yes,70,,32,102,108,43,8,159,43,1 MRSA,110,"2 MRSA, 3 CRO Pseudomonas",6,,,,,,,"37 CRE Kleb, 6 ESBL Kleb, 6 3GC-R E Coli, 52 CRE A baumanii",,,,3,1,2,,,,3,3,0,,,,,,,,,6,4,,2,,,0,,,,,,,7,,7,,,,3,,3,,,49,15,34,,,,43,43,37,,,8,1,4,3,,,7,6,0,,,57,9,47,1,,,52,52,,,,,,,,,,,,,11,11,,,,,,,,,,,,,,,,10,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,Yes,Yes,Yes,No or unclear,moderate,5,No,-,-,-,,,,,,,,,,Secondary,Y,,Y,Y
"Llitjos J-F, 2021",Annals of Intensive Care,03/01/2020,06/30/2020,France,HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,176,Critically Ill; MV x at least 48h,63,Median,42,Critical,Yes,No,170,176,176,,17,,45,,16,26,,Culture,Patients with clinically suspected ICU-acquired pneumonia were subjected to a tracheobronchial aspirate or broncho-alveolar lavage with direct Gram staining and semi-quantitative culture,Yes,resp,resp,176,,92,,,,,No,No,No,,,92,92,,,122,122,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,28,24,,"50 Enterobacteriaceae, 20 non-fermenting GNB, 28 GPC, 24 polymicrobial (non-specified)",12,1,161,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,low,10,No,-,-,-,,,,,,,,,,Secondary,Y,,N,N
"Luo X, 2021",Chinese Journal of Microbiology and Immunology,02/10/2020,03/31/2020,China,LMIC,Asia,Western Pacific,Retrospective Cohort,Hospital,95,Study only includes patients with positive bacterial culture,69,Median,45,All combined,Yes,No,,,72,,,,,,,,,Culture,"routine bacterial culture of blood, urine, sputum and bronchoalveolar lavage fluid submitted for clinical examination",No,"resp, blood, urine",multiple,95,,,,,,,Yes,Yes,Yes,,,,,64,,53,117,,,,,,,,,,,117,,,,,7,,,,,,5,5,,,,,,,,,,13,,,,,,,,,,,,,14,,,,,,,,,,,23,,,,,,22,,,,,15,,,,,,14,,,,,23,,,,,,23,23,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4,,,,,,,No or unclear,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,low,8,No,,,,,,,,,,,,,Unspecified,N,,Y,Y
"Luyt CE, 2020",Ann. Intensive Care,03/12/2020,04/24/2020,France,HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,50,ICU Patients receiving Extracorporeal membrane oxygenation; reports both initial co-infection and also then also the ventilator associated and hospital acquired infections.,48,Median,14,Critical,Yes,No,50,50,50,,,,,,,1,,Culture,"BAL fuid (BALF) was sent to the bacteriology laboratory for direct microscopic examination with Gram staining, quantitative microbiologic culture, and susceptibility testing of retrieved pathogens",Yes,resp,resp,50,,43,,,,,Yes,Yes,No,4,1,38,43,4,1,66,71,,,71,"2 MRSA, 2 ESBL Enterbactericiae (unspecified)",,,,,,,,,,,,3,,3,,,,2,2,,,,,,,,,,3,,3,,,,,,,,,,,16,,16,,,,,,,,,11,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,1,,1,,,,,,,3,,,,,,,,,,,,15,,14,,"Halfnia alvei=2, Polymicrobial=14, non-inducible amp C and non ESBL enterobacteriaceae=11, ESBL unspecified=2",,1,50,No or unclear,No or unclear,Yes,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,moderate,7,No,-,-,-,,,,,,,,,,Secondary,Y,,N,Y
"Lv Z, 2020",Microbes and infection,02/04/2020,02/28/2020,China,LMIC,Asia,Western Pacific,Retrospective Cohort,Hospital,354,0,62,median,179,All patients,Yes,No,,,,,6,18,35,,2,,,Culture + NAAT,"BAL and blood cultures plates on agar, blue agar and blood agar plates; Sputum culture for atypical pathogens",No,"resp, blood",multiple,354,18,,,,,,Yes,Yes,No,4,,14,18,4,,30,34,,,34,4 Acinetobacter baumanii,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,10,,10,,,,,,,,,10,,10,,,,4,,,,,,,,,,,,,,4,,4,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,low,8,No,-,-,-,,,,,,,,,,Co-infection,Y,,N,Y
"Mady A, 2020",Annals of Medicine and Surgery,08/12/2020,09/12/2020,Saudi Arabia,HIC,Middle East,Eastern Mediterranean,Case Series of equal or more than 50 patients,Hospital ICU,61,toci trial,51,Median,7,Severe,Yes,No,,29,61,37,,,24,,,,,Culture,"Ventilator Associated Pneumonia (VAP; defined as respiratory culture positive or respiratory PCR plus compatible clinical, and  radiological findings) [32],  blood stream infection (BSI; one or more positive blood cultures associated with systemic signs of infection such as fevers, chills, and/or hypoten-sion), and urinary tract infection (UTI; defined as one or more positive urinary cultures associated with systemic signs of infection) were also analyzed",Yes,"resp, blood, urine",multiple,61,,12,,,,,Yes,Yes,No,3,,9,12,3,,9,12,5,1 VRE,6,2 MDR A baumanii,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,3,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2 = unknown,61,61,61,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,low,9,Yes," Data not reported but this was stated within text: ""In our study, the incidence of nosocomial acquired infections based on strict clinical criteria was 19.6%, which although an important cofactor did not affect mortality during TCZ therapy""",No,No,,,,,,,,,,Secondary,Y,,N,Y
"Maes M, 2021",Blood culture grew E faecalis in 1 of 4 sets.,03/15/2020,08/30/2020,United Kingdom,HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,81,Critically ill ,62,Median,25,Critical,Yes,No,63,81,81,,16,,18,,,12,"Active hematological malignancy, neutropenic malignancy, SOT, BMT, receipt of immunosuppressive medications including corticosteroids for >1 week prior to hospital admission",Culture + molecular,"VAP was defined using a modifcation of the European Centre for Disease Control defnitions [17] for quantitative BAL culture (termed PN1) or quantitative endotracheal aspirate (ETA) or sputum culture (termed PN2) defnitions of pneumonia (see Fig. 1). Te modifcations were to use polymerase chain reaction (PCR) positivity by TAC for BAL fuid (details below) and to use a threshold of â‰¥ 105 Colony Forming Units (CFU)/ml for endotracheal aspirate in keeping with UK standards.  Low lung pathogenicity organisms (Enterococcus spp.,  andidaalbicans, non-pneumococcal Streptococci and coagulase negative Staphylococci) were reported but not considered a component of VAP",Yes,resp,resp,81,,39,,,,,Yes,No,No,,,39,39,,,49,49,,,49,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,4,,4,,,,7,,7,,,,,,,,,10,,10,,,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,4,,4,,,,,,,,,,,,2,,2,,,,,,,,,,,4,,4,,,,,6,,6,,,,,,,,1,,1,,,,,,,,,4,,,,"Burkholderia cepacia=1, Coliform=1, Enterobactericiae=2",13,,76,No or unclear,No or unclear,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,moderate,6,No,-,-,-,,,,,,,,,,Secondary,Y,,N,N
